,text,emotion
32,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,Surprise
33,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,Anger
34,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,Joy
35,i am not sure what would make me feel content if anything,Joy
36,i have been feeling the need to be creative,Joy
37,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,Joy
38,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,Anger
39,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,Joy
40,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,Joy
41,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,Joy
42,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,Joy
43,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,Joy
44,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,Sadness
45,i was feeling listless from the need of new things something different,Sadness
46,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,Joy
47,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,Love
48,on a boat trip to denmark,Joy
49,i stopped feeling cold and began feeling hot,Anger
50,i need to feel the dough to make sure its just perfect,Joy
51,i found myself feeling a little discouraged that morning,Sadness
52,i feel selfish and spoiled,Anger
53,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,Fear
54,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,Joy
55,i feel you know basically like a fake in the realm of science fiction,Sadness
56,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,Sadness
57,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,Surprise
58,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,Joy
59,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,Joy
60,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,Joy
61,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,Love
62,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,Fear
63,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,Fear
64,i am now nearly finished the week detox and i feel amazing,Surprise
65,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,Anger
66,i know the pain parents feel when an enraged child becomes violent,Anger
67,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,Sadness
68,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,Love
69,i was feeling brave when i bought it and clearly when i was doing my makeup,Joy
70,i am feeling miserable but c i am also the proudest mum on earth,Sadness
71,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,Sadness
72,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,Joy
73,i can feel my ovaries aching talking to me as i like to put it,Sadness
74,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,Sadness
75,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,Sadness
76,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,Joy
77,i think feelings are one of nay the most important things we have,Joy
78,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,Joy
79,i feel angered and firey,Anger
80,i feel like a miserable piece of garbage,Sadness
81,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,Anger
82,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,Anger
83,i remember feeling so hellip furious with the shooter,Anger
84,i feel very happy and excited since i learned so many things,Joy
85,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,Joy
86,i only have a couple of things left to make and at the start of december i am done and feeling smug,Joy
87,i think about how u could make me feel and realize that everything will be ok,Joy
88,i feel so worthless during those times i was struggling finding work,Sadness
89,i will be able to lay on my bed in the dark and not feel terrified at least for a while,Fear
90,i was ready to meet mom in the airport and feel her ever supportive arms around me,Love
91,im feeling bitter today my mood has been strange the entire day so i guess its that,Anger
92,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,Sadness
93,i am letting go of the animosity that is towards anyone that i feel has wronged me,Anger
94,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,Love
95,i feel like throwing away the shitty piece of shit paper,Sadness
96,im starting to feel wryly amused at the banal comedy of errors my life is turning into,Joy
97,i find every body beautiful and only want people to feel vital in their bodies,Joy
98,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,Sadness
99,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,Anger
100,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,Love
101,i alba i feel good and im fitting in,Joy
102,i feel excited about what im doing again i feel like i have a ton of catching up to do,Joy
103,i also know how good it feels to look back and see that i honored my word and that helps from the start,Joy
104,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,Sadness
105,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,Joy
106,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,Joy
107,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,Joy
108,finding out that i am not ill not seriously,Joy
109,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,Sadness
110,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,Joy
111,i am feeling all useful,Joy
112,i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,Love
113,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,Sadness
114,im not feeling homesick yet so im feeling alright about this,Sadness
115,i dance i should feel pretty,Joy
116,i workout every morning before and feel fabulous for it,Joy
117,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,Sadness
118,i was feeling fabulous until friday morning when i started to get these awful cramps at work,Joy
119,i feel honoured to have been able to call them friends to share their brotherhood,Joy
120,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,Fear
121,i had stated to her the reason i feel so fearful is because i feel unsafe,Fear
122,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,Fear
123,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,Sadness
124,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,Love
125,i feel they are pretty safe on my blog img src http s,Joy
126,i feel pretty eager to get it done as i have a fun plan for quilting it,Joy
127,i am feeling horny so i ask her that lets go home,Love
128,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,Fear
129,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,Surprise
130,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,Joy
131,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,Joy
132,i was still feeling strong,Joy
133,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,Joy
134,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,Anger
135,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,Fear
136,i clench to the corners of the bed to feel assured,Joy
137,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,Anger
138,i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,Love
139,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,Anger
140,i do not feel miserable at all because my family is not the type that celebrates eid,Sadness
141,i might go get a car wash if i am feeling really generous my car needs it,Joy
142,i still feel sleep deprived she is almost sleeping through the night giving us,Sadness
143,i just feel really violent right now,Anger
144,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,Joy
145,i started feeling funny and then friday i woke up sick as a dog,Surprise
146,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,Sadness
147,i feel disgusted to even be associated with this woman by my race and nationality,Anger
148,i laughed then bitterly again but i wasnt feeling bitter,Anger
149,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,Sadness
150,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,Joy
151,i told him that maybe i just need time to think how ive been feeling indecisive about things lately,Fear
152,i still feel it does the genre a disservice when stories are resolved artifically,Joy
153,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,Joy
154,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,Fear
155,i could feel her whimper to the thought of being unloved and uncared for,Sadness
156,im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,Surprise
157,im sorry that there wasnt more humor in this post but im not feeling all that funny,Surprise
158,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,Joy
159,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,Anger
160,i feel strange coming back to work after my one day holiday,Fear
161,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,Anger
162,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,Sadness
163,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,Anger
164,i feel so sad and hopeless,Sadness
165,im getting the feeling that my classes are a little intimidated by the concept of a lit,Fear
166,i still feel groggy but i have to get up to do the routine for my son,Sadness
167,i have a feeling my view isnt going to be very popular and thats fine,Joy
168,i want to hold this feeling of shocked awe and wonder forever,Surprise
169,when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,Fear
170,i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,Joy
171,i know there are days in which you feel distracted,Anger
172,i use it regularly with relaxing music and always feel invigorated afterward,Joy
173,im feeling distracted i tend to practice with my eyes shut as much as possible,Anger
174,i feel like its perfect a w see youtube has its influences i even know trends,Joy
175,i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,Fear
176,i also didn t feel very weird sleeping in my bed while the two of them slept in hers,Fear
177,i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,Sadness
178,ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,Joy
179,i hope to feel a bit more creative again soon and miss its presence in my life blog,Joy
180,i am no fan of the current president i am a conservative and it made me feel unwelcome,Sadness
181,i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,Surprise
182,i begin to feel complacent with my life here,Joy
183,i feel vulnerable and alone,Fear
184,i remember feeling inspired and thinking that it was a fine example of parenting,Joy
185,i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,Sadness
186,i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,Joy
187,im there i simply feel contented,Joy
188,im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,Joy
189,i think im just being stupid feeling nervous,Fear
190,i feel honored by it,Joy
191,i was feeling an act of god at work in my life and it was an amazing feeling,Surprise
192,i feel im like a bird flying in the air in a very carefree manner,Joy
193,i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,Anger
194,i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,Sadness
195,i died would alex and matt feel regretful for not coming to visit,Sadness
196,i feel that educating families and supporting and educationg mamas and papas is key,Joy
197,im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,Anger
198,i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,Sadness
199,i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,Joy
200,i feel like i talented young man i don t feel talented then i don t to work with,Joy
201,i feel curious about all this things around,Surprise
202,i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,Joy
203,i feel now so uncomfortable with all of them i guess is me,Fear
204,i feel pretty mellow so far about whatever healing wounding process may be getting underway,Joy
205,i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,Fear
206,i legs would feel shitty for a few miles but would come around like they always do,Sadness
207,i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,Fear
208,i seriously feel so blessed for the support that i have at home it s amazing,Love
209,i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,Sadness
210,i am feeling pretty restless right now while typing this,Fear
211,i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,Love
212,i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,Sadness
213,i wrote last year when i was feeling more dull and inarticulate than normal,Sadness
214,id kick myself into gear but i just feel irritable with no motivation what so ever,Anger
215,i feel as a child innocent feelings illustrating a,Joy
216,i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,Love
217,i will start to feel resentful,Anger
218,i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,Sadness
219,i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,Surprise
220,i feel so fucked like everyday of my life,Anger
221,ive worked really hard all year to try to make each child in the class feel like they are valued,Joy
222,i am feeling disheartened with my words as of late,Sadness
223,i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,Anger
224,i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,Joy
225,i don t feel like eggs benedict i ll have something equally delicious,Joy
226,im feeling my way through and trusting myself,Joy
227,im feeling inspired by all the summery elements of my favorite past time beach bummin,Joy
228,i can feel that she smiled i love you even more gorgeous,Joy
229,i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,Sadness
230,i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,Joy
231,i can t say i feel all that sympathetic,Love
232,i was feeling over eager and hopped on to the tube to ride the eye of london,Joy
233,i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,Sadness
234,i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,Anger
235,i feel like that s so weird that i had cancer that one time,Surprise
236,i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,Joy
237,im feeling cranky,Anger
238,i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,Joy
239,i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,Love
240,i feel stressed always,Sadness
241,i remember feeling another cramp but i also ignored it,Sadness
242,i hope i feel mellow well fed well slept at peace with myself within this external world,Joy
243,i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,Sadness
244,im feeling awful because we hung out with my friend and her new baby the day before,Sadness
245,i feel very relaxed and fine,Joy
246,i feel the suffering and i really feel the pain,Sadness
247,i go to sleep i feel as if i m giving up precious time to do something else with my life,Joy
248,i feel like i ve been neglecting my beloved mom blog,Joy
249,i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,Joy
250,i just feel terrified like im on the edge of a precipice staring ahead,Fear
251,i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time,Sadness
252,i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,Anger
253,i feel as if i was abused in some way,Sadness
254,im still paying attention but i feel distracted,Anger
255,i started the third block feeling hot and cold and tingly all at the same time knowing that i still had five hours of examination ahead of me having no idea if any of it would do any good,Love
256,im hesitant to make suggestions because i feel as if the outcome would not be sincere,Joy
257,i feel not too terribly fond of the majority at this precise time,Love
258,i can feel myself gaining control over the damaged goods aspects of my personal security,Sadness
259,i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,Joy
260,i think its kind of taken us this long to build up a good inventory of sauces oils spices and other non perishables to feel like we have a chance at making something delicious without having to specifically go out and buy every single item in a recipe,Joy
261,i now feel i can advise other dads whose children will soon become teenagers it s not cool to pull up to your kid s high school to pick them up in a smelly jalopy with plants coming out the windows,Joy
262,i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax,Sadness
263,i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated,Joy
264,i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets,Sadness
265,i have my own mind and i feel like my mind is dangerous to my life,Anger
266,i feel like i love everyone or at least i am compassionate toward others,Love
267,i feel as if i should be punished for neglecting you,Sadness
268,i feel like it just doesnt capture the beauty of this lovely polish,Love
269,i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially,Sadness
270,i feel like i should just bite the bullet and do it but every time i think about it i feel stressed because im not fully supported on my decisions,Sadness
271,i know i have some obnoxiously immature sounding verbal tics and my voice is kind of nasal and i don t always come across like the sharpest tool in the shed especially when i m feeling awkward but there s knowing and there s knowing you know,Sadness
272,id just had a terrible nightmare and was feeling a little disturbed,Sadness
273,i didnt want to walk passed there just in case the customers feel disturbed,Sadness
274,i want other sufferers to be able to find me in the hope that my battle can help them to feel that they are not alone,Sadness
275,i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good,Fear
276,i am so festive this feels so delicious wheeeeee what a great night,Joy
277,i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain,Sadness
278,im sick of feeling crappy,Sadness
279,i feel like i almost convinced myself this is going to be the pattern,Joy
280,i also wear them when im wearing a dress that makes me feel slutty feels like those antique underwears but obviously a little bit more edgy or maybe a little bit more than a little bit,Love
281,i feel a perverse pride in my self control that i managed to stay where i was ordered and not reach for the tempting human flesh so close before us,Sadness
282,i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,Anger
283,i was positively giddy when the kids left this morning after our very last official class of the year but now im feeling a little sad,Sadness
284,i feel supportive of him i also cant help but feel jealous,Love
285,i mainly like to text because i feel like i am so much more clever with the written word rather than the spoken,Joy
286,i seriouly feel i am not being respected i dont have my privacy i am being ordered around,Joy
287,i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality,Joy
288,i personalities that can feel pain and suffering,Sadness
289,i guess i would feel more like joseph with walt trusting me to care for mother and over the finances which he did six months before he died there are times i want to defend my self but god makes me be quiet,Joy
290,i was warming up starting feeling a little lethargic,Sadness
291,i feel excelent but sometimes theres just nothing to do especially since im not really keen on video games anymore i watch a bit of anime and some movies but theres just got to be more in my life,Joy
292,i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections,Joy
293,im feeling a little bit more positive now as things were quite hard at first as my savings were eaten up quickly with costs and i didnt want to become a burden to my boyfriend but weve come out the other end and im feeling brighter and more inspired about things to come,Joy
294,im just feeling rather sentimental right now and just have to say i feel so lucky to be maxs mom,Sadness
295,i make myself show up and feel isolated in the crowd ill know i was wrong about the anti social feeling,Sadness
296,ive learned how to turn off all my emotions more and more and i often find myself feeling completely blank while my mother is crying continuously over my suicidalness,Sadness
297,i feel loyal to style,Love
298,i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way,Fear
299,i can finally stop feeling listless and like a waste of space,Sadness
300,i know im feeling agitated as it is from a side effect of the too high dose,Fear
301,i do feel a shift in me to being more positive,Joy
302,i am feeling brave enough,Joy
303,fear of thief,Fear
304,i feel clever nov,Joy
305,i always spend more money there than i mean to and feel dissatisfied when i exit the store,Anger
306,im feeling really quite angry,Anger
307,i feel kerry didnt do by supporting civil unions and gay equality,Love
308,i feel really ashamed,Sadness
309,i feel to have these amazing people in my life,Surprise
310,i finally left feeling judged and ridiculed because i am intelligent,Joy
311,i is starting to feel a bit insulted by this stranger,Anger
312,i have many days where i feel hopeless today the light at the end of my yellow brick road was shining just a little brighter,Sadness
313,i actually feel sorrowful,Sadness
314,i see women wearing boots i feel envious that i want to curse them,Anger
315,i will feel what i feel and tell you and together we will apologize and make up and keep loving each other to bits and bits,Love
316,i go up to her and i say feeling very impressed with myself youre naomi klein right,Surprise
317,i began to feel each of my senses dull until the cold black unconsciousness over came me,Sadness
318,i suspect feel less than fond in private,Love
319,i was so honoured that this young woman felt comfortable enough to ask me i had kind of a faux hawk thing going on back then so i must have looked dykey enough for her to feel safe talking to me,Joy
320,i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,Anger
321,i feel convinced plus so many diverse price tags that i feel sure everyone should come up with the funds to have their plot to be lighted up relatively economically,Joy
322,i feel empty when the baby isnt there,Sadness
323,i stopped feeling so exhausted a href http provokingbeauty,Sadness
324,im feeling font friendly,Joy
325,i had my hand on my beads consciously breathing consciously working to feel calm about my list of things to accomplish that afternoon,Joy
326,i always feel intimidated by other people especially when they always compare me to other people ever since i was young,Fear
327,i be made to feel rotten,Sadness
328,i started feeling hostile and i am checking my hemorrhoids,Anger
329,i love wearing new shoes i just feel so glamourous and when i get a pair of designer shoes i love the box and all the trimmings that come with them,Joy
330,i know about have to do largely with the fact that any feelings romantic or sexual i have successfully hidden from myself,Love
331,i just love the feeling of something warmly hugging you and feeling so precious and small precious to someone something,Joy
332,im feeling far more mellow than normal,Joy
333,i became more dismayed as i studied what people were wearing and started feeling like though some of the outfits were gorgeous they were bought that way,Joy
334,i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave,Joy
335,im feeling lucky width li style border px list style outside margin px px,Joy
336,i recall those high school feelings and the longing with which i watched the olympic runners i feel st,Love
337,i woke up feeling confident and watched the bodypump dvd to gather some coaching tips and compulsory cues,Joy
338,i didnt say was that strong feelings always make me skeptical at first,Fear
339,i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up,Fear
340,i am beginning to feel that theres a good chance i might pass,Joy
341,i feel like i have a little more control and can help sweet pea better if i know what is ahead,Joy
342,i feel like i m on the receiving end of a violent attack,Anger
343,i feel it is worthwhile to document it for people who are not familiar with batch files,Joy
344,i and i are feeling especially thankful for so many small blessings in our life right now,Joy
345,i am hoping the weatherman is right with his forecast of stay at home dont venture out rain for tomorrow i am feeling all kind of creative,Joy
346,i feel like im just on the edge in this microcosm one more awkward moment or missed party and id be on the outside,Sadness
347,i feel a bit funny actually,Surprise
348,i have learnt nothing else in the last two years it is that it s best to feel my way by trusting my instincts,Joy
349,i am feeling is also a blossoming eager anxiety,Joy
350,i feel burdened to share it,Sadness
351,i always want nemo by my side and sleeping without her now feels weird even though it doesnt happen often that i get to,Surprise
352,im not feeling the outfit but the heels are gorgeous,Joy
353,i feel confused after that,Fear
354,i feel that the session was useful and gave me tools i need to move forward in my life,Joy
355,i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies,Anger
356,i took away all the disappointed feeling all the paining i gave my heart to be heal by lord because he s the only one love who never betrayed never lose loyalty even i didn t loyal to him,Love
357,i feel envious and embarrassed,Anger
358,i could feel the frantic need in him the need to make me his,Fear
359,i am feeling overwhelmed with the responsibilities of being a teacher that someone is trusting me with their most precious gift and it is an honor,Surprise
360,i feel so tranquil right now its great,Joy
361,i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other,Anger
362,i thought we were going to talk and try and work at things so i was shocked to find out steve had decided he wanted to be on his own the thing that broke me was the feeling of been unloved,Sadness
363,i wouldnt have beared witness to the incredibly well spoken bouncer making an emo kid feel completely unwelcome,Sadness
364,i tend to stop breathing when i m feeling stressed,Sadness
